,OBJECTID,centroid,MUKEY,gridcode
0,1,"(-90.88050161523233, 41.63890754986882)",410857,1
1,2,"(-90.88011054643403, 41.64111185108617)",410858,2
2,3,"(-90.86752979725242, 41.699078276408194)",410860,3
3,4,"(-90.8484077746127, 41.69142040043097)",410861,4
4,5,"(-90.86466578716306, 41.682447066766116)",410862,5
5,6,"(-90.82964282583352, 41.66946549740131)",410863,6
6,7,"(-90.84143014879852, 41.67572075764986)",410864,7
7,8,"(-90.87648241872309, 41.668662694945084)",410865,8
8,9,"(-90.82159431248942, 41.665586354469255)",410866,9
9,10,"(-90.83608255772288, 41.680490171824744)",410867,10
10,11,"(-90.79701539586473, 41.72698925418408)",410868,11
11,12,"(-90.84347673052845, 41.6926193997345)",410870,12
12,13,"(-90.84102991371508, 41.69519492542403)",410871,13
13,14,"(-90.85013923935914, 41.716763000107804)",410872,14
14,15,"(-90.85854612731208, 41.6798013243278)",410873,15
15,16,"(-90.82023827457657, 41.67136886787209)",410877,16
16,17,"(-90.84859236762702, 41.673854510332305)",410883,17
17,18,"(-90.82221860467952, 41.702204234758554)",410884,18
18,19,"(-90.82016450322513, 41.705915963925314)",410886,19
19,20,"(-90.79925046847083, 41.72248483031142)",410887,20
20,21,"(-90.82014357815123, 41.711732547794924)",410889,21
21,22,"(-90.82215370713762, 41.7073336247055)",410890,22
22,23,"(-90.8168837057917, 41.71672504933805)",410892,23
23,24,"(-90.82148649791198, 41.70734347685611)",410893,24
24,25,"(-90.81446034402317, 41.721328793225794)",410894,25
25,26,"(-90.81331522242937, 41.72864793115824)",410911,26
26,27,"(-90.8270904167858, 41.690139928064674)",410914,27
27,28,"(-90.82165279056382, 41.70106575671221)",410925,28
28,29,"(-90.82139725859787, 41.69795879806091)",410926,29
29,30,"(-90.83012451768208, 41.7112308749702)",410928,30
30,31,"(-90.81152291738101, 41.72697818821528)",410929,31
31,32,"(-90.86971435061841, 41.69309337624696)",410934,32
32,33,"(-90.83818643172442, 41.68548244250086)",410936,33
33,34,"(-90.8417772482627, 41.67905900260858)",410937,34
34,35,"(-90.7889078883714, 41.70613046593137)",410939,35
35,36,"(-90.87390529477797, 41.6848609841072)",410944,36
36,37,"(-90.83476864678242, 41.679987681298655)",410946,37
37,38,"(-90.86863209901807, 41.694132766228606)",410953,38
38,39,"(-90.77026207103933, 41.68252805477361)",410964,39
39,40,"(-90.77060369445223, 41.682737266973476)",410965,40
40,41,"(-90.86680976705148, 41.645598014069776)",410988,41
41,42,"(-90.8047027348225, 41.71938514912148)",410992,42
42,43,"(-90.83656657372856, 41.6806989013445)",410993,43
43,44,"(-90.81758880363046, 41.66995699357406)",410994,44
44,45,"(-90.82957105552292, 41.67544166139619)",410996,45
45,46,"(-90.8288594158111, 41.7100589018885)",410997,46
46,47,"(-90.836969298651, 41.70146923243491)",410999,47
